in:Distribution;in:39;in:48;in:51;in:54;in:60;in:Ontwerp;out:SocialV;out:MiddenV;out:VrijV;out:BetaalbaarV;out:tO;out:tK;out:Rendement;out:Aantal;out:Sa;out:MHa;out:MKa;out:Va;out:VGa;out:Sk1_1;out:Sk1_2;out:Sk2_1;out:Sk2_2;out:Sk3_1;out:Sk3_2;out:Mk2H;out:Mk3H;out:Mk2K_1;out:Mk2K_2;out:Mk2K_3;out:Mk3K_1;out:Mk3K_2;out:Mk3K_3;out:Vk3K;out:Vk4K;out:G39;out:G48;out:G51;out:G54;out:G60;out:Pbh;out:Pg;out:OverschootP;out:Se;out:MHe;out:MKe;out:Ve;out:VGe;img
Ascending;12;20;25;25;25;A;27;36;37;63;211;194;17;598;160;59;156;31;192;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;23;38;48;48;35;615;620;5;10;7;0;0;17;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending;12;20;25;25;25;A;27;36;37;63;202;189;13;593;160;59;156;31;187;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;47;47;46;37;10;608;620;12;10;7;0;0;12;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending;25;20;25;25;25;A;26;35;39;61;210;196;14;608;160;59;156;31;202;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;51;40;51;50;10;629;620;-9;10;7;0;0;27;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending;25;20;25;25;25;A;27;36;37;63;202;189;13;593;160;59;156;31;187;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;47;47;46;37;10;608;620;12;10;7;0;0;12;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5125_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending;12;20;50;25;25;A;27;36;37;63;210;194;16;601;160;59;156;31;195;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;23;39;97;18;18;619;620;1;10;7;0;0;20;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending;12;20;50;25;25;A;27;37;36;64;197;185;12;587;160;59;156;31;181;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;45;45;90;1;0;600;620;20;10;7;0;0;6;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending;25;20;50;25;25;A;26;35;39;61;209;195;14;609;160;59;156;31;203;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;51;41;101;5;5;630;620;-10;10;7;0;0;28;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Descending;25;20;50;25;25;A;27;37;36;64;197;185;12;587;160;59;156;31;181;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;45;45;90;1;0;600;620;20;10;7;0;0;6;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5150_5425_6025_GGWUrbanDesignA_3D_Client.png
Ascending;12;20;25;40;25;A;27;36;37;63;211;195;16;601;160;59;156;31;195;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;23;39;49;78;6;619;620;1;10;7;0;0;20;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5125_5440_6025_GGWUrbanDesignA_3D_Client.png
Descending;12;20;25;40;25;A;27;37;36;64;198;186;12;589;160;59;156;31;183;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;46;73;46;9;9;603;620;17;10;7;0;0;8;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5125_5440_6025_GGWUrbanDesignA_3D_Client.png
Ascending;25;20;25;40;25;A;26;35;39;61;210;195;15;606;160;59;156;31;200;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;50;40;50;30;30;626;620;-6;10;7;0;0;25;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5125_5440_6025_GGWUrbanDesignA_3D_Client.png
Descending;25;20;25;40;25;A;27;37;36;64;198;186;12;589;160;59;156;31;183;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;46;73;46;9;9;603;620;17;10;7;0;0;8;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5125_5440_6025_GGWUrbanDesignA_3D_Client.png
Ascending;12;20;50;40;25;A;27;36;37;63;210;194;16;601;160;59;156;31;195;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;23;39;97;18;18;619;620;1;10;7;0;0;20;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5150_5440_6025_GGWUrbanDesignA_3D_Client.png
Descending;12;20;50;40;25;A;27;36;37;63;201;188;13;592;160;59;156;31;186;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;46;74;22;22;22;607;620;13;10;7;0;0;11;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5150_5440_6025_GGWUrbanDesignA_3D_Client.png
Ascending;25;20;50;40;25;A;26;35;39;61;209;195;14;609;160;59;156;31;203;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;51;41;101;5;5;630;620;-10;10;7;0;0;28;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5150_5440_6025_GGWUrbanDesignA_3D_Client.png
Descending;25;20;50;40;25;A;27;36;37;63;201;188;13;592;160;59;156;31;186;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;46;74;22;22;22;607;620;13;10;7;0;0;11;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5150_5440_6025_GGWUrbanDesignA_3D_Client.png
Ascending;12;20;25;25;25;B;27;36;37;63;208;191;16;592;160;59;156;31;186;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;22;37;47;46;34;607;630;23;10;7;0;0;11;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5125_5425_6025_GGWUrbanDesignB_3D_Client.png
Descending;12;20;25;25;25;B;28;36;36;64;196;183;13;577;160;52;156;31;178;2;5;48;44;34;27;28;24;38;31;0;36;28;23;5;26;45;44;44;36;9;591;630;39;10;0;0;0;3;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5125_5425_6025_GGWUrbanDesignB_3D_Client.png
Ascending;25;20;25;25;25;B;27;36;37;63;206;192;14;599;160;59;156;31;193;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;48;39;48;48;10;616;630;14;10;7;0;0;18;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5125_5425_6025_GGWUrbanDesignB_3D_Client.png
Descending;25;20;25;25;25;B;28;36;36;64;196;183;13;577;160;52;156;31;178;2;5;48;44;34;27;28;24;38;31;0;36;28;23;5;26;45;44;44;36;9;591;630;39;10;0;0;0;3;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5125_5425_6025_GGWUrbanDesignB_3D_Client.png
Ascending;12;20;50;25;25;B;27;36;37;63;206;191;15;594;160;59;156;31;188;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;23;37;94;17;17;609;630;21;10;7;0;0;13;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5150_5425_6025_GGWUrbanDesignB_3D_Client.png
Descending;12;20;50;25;25;B;27;37;36;64;190;178;12;563;150;52;156;31;174;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;43;43;87;1;0;579;630;51;0;0;0;0;-1;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5150_5425_6025_GGWUrbanDesignB_3D_Client.png
Ascending;25;20;50;25;25;B;27;36;37;63;204;191;13;599;160;59;156;31;193;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;48;39;96;5;5;616;630;14;10;7;0;0;18;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5150_5425_6025_GGWUrbanDesignB_3D_Client.png
Descending;25;20;50;25;25;B;27;37;36;64;190;178;12;563;150;52;156;31;174;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;43;43;87;1;0;579;630;51;0;0;0;0;-1;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5150_5425_6025_GGWUrbanDesignB_3D_Client.png
Ascending;12;20;25;40;25;B;27;36;37;63;206;191;15;593;160;59;156;31;187;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;22;37;47;75;6;608;630;22;10;7;0;0;12;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5125_5440_6025_GGWUrbanDesignB_3D_Client.png
Descending;12;20;25;40;25;B;27;37;36;64;189;178;12;563;150;52;156;31;174;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;44;69;43;9;9;579;630;51;0;0;0;0;-1;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5125_5440_6025_GGWUrbanDesignB_3D_Client.png
Ascending;25;20;25;40;25;B;27;36;37;63;206;191;15;597;160;59;156;31;191;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;48;38;47;29;29;614;630;16;10;7;0;0;16;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5125_5440_6025_GGWUrbanDesignB_3D_Client.png
Descending;25;20;25;40;25;B;27;37;36;64;189;178;12;563;150;52;156;31;174;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;44;69;43;9;9;579;630;51;0;0;0;0;-1;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5125_5440_6025_GGWUrbanDesignB_3D_Client.png
Ascending;12;20;50;40;25;B;27;36;37;63;206;191;15;594;160;59;156;31;188;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;23;37;94;17;17;609;630;21;10;7;0;0;13;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5150_5440_6025_GGWUrbanDesignB_3D_Client.png
Descending;12;20;50;40;25;B;28;36;36;64;196;183;13;578;160;52;156;31;179;2;5;48;44;34;27;28;24;38;31;0;36;28;23;5;26;45;71;21;21;21;592;630;38;10;0;0;0;4;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5150_5440_6025_GGWUrbanDesignB_3D_Client.png
Ascending;25;20;50;40;25;B;27;36;37;63;204;191;13;599;160;59;156;31;193;2;5;48;44;34;27;32;27;38;31;0;36;28;23;5;26;48;39;96;5;5;616;630;14;10;7;0;0;18;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5150_5440_6025_GGWUrbanDesignB_3D_Client.png
Descending;25;20;50;40;25;B;28;36;36;64;196;183;13;578;160;52;156;31;179;2;5;48;44;34;27;28;24;38;31;0;36;28;23;5;26;45;71;21;21;21;592;630;38;10;0;0;0;4;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5150_5440_6025_GGWUrbanDesignB_3D_Client.png
Ascending;12;20;25;25;25;C;28;36;36;64;186;172;14;536;150;52;140;31;163;2;5;42;44;30;27;28;24;30;31;0;28;28;23;5;26;20;32;41;41;29;545;623;78;0;0;-16;0;-12;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5125_5425_6025_GGWUrbanDesignC_3D_Client.png
Descending;12;20;25;25;25;C;28;36;36;64;180;169;11;534;150;52;140;31;161;2;5;42;44;30;27;28;24;30;31;0;28;28;23;5;26;41;40;40;32;8;543;623;80;0;0;-16;0;-14;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5125_5425_6025_GGWUrbanDesignC_3D_Client.png
Ascending;25;20;25;25;25;C;27;37;36;64;190;178;13;560;150;52;156;31;171;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;43;34;43;42;9;574;623;49;0;0;0;0;-4;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5125_5425_6025_GGWUrbanDesignC_3D_Client.png
Descending;25;20;25;25;25;C;28;36;36;64;180;169;11;534;150;52;140;31;161;2;5;42;44;30;27;28;24;30;31;0;28;28;23;5;26;41;40;40;32;8;543;623;80;0;0;-16;0;-14;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5125_5425_6025_GGWUrbanDesignC_3D_Client.png
Ascending;12;20;50;25;25;C;27;37;36;64;192;177;14;557;150;52;156;31;168;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;20;34;84;15;15;570;623;53;0;0;0;0;-7;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5150_5425_6025_GGWUrbanDesignC_3D_Client.png
Descending;12;20;50;25;25;C;28;36;36;64;178;167;11;533;150;38;156;31;158;2;5;42;44;30;27;20;18;38;31;0;36;28;23;5;26;39;39;79;1;0;547;623;76;0;-14;0;0;-17;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5150_5425_6025_GGWUrbanDesignC_3D_Client.png
Ascending;25;20;50;25;25;C;27;37;36;64;191;179;12;565;150;52;156;31;176;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;44;35;88;5;4;581;623;42;0;0;0;0;1;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5150_5425_6025_GGWUrbanDesignC_3D_Client.png
Descending;25;20;50;25;25;C;28;36;36;64;178;167;11;533;150;38;156;31;158;2;5;42;44;30;27;20;18;38;31;0;36;28;23;5;26;39;39;79;1;0;547;623;76;0;-14;0;0;-17;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5150_5425_6025_GGWUrbanDesignC_3D_Client.png
Ascending;12;20;25;40;25;C;28;36;36;64;186;172;14;537;150;52;140;31;164;2;5;42;44;30;27;28;24;30;31;0;28;28;23;5;26;20;33;41;65;5;547;623;76;0;0;-16;0;-11;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5125_5440_6025_GGWUrbanDesignC_3D_Client.png
Descending;12;20;25;40;25;C;28;36;36;64;178;167;11;533;150;38;156;31;158;2;5;42;44;30;27;20;18;38;31;0;36;28;23;5;26;40;63;39;8;8;547;623;76;0;-14;0;0;-17;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5125_5440_6025_GGWUrbanDesignC_3D_Client.png
Ascending;25;20;25;40;25;C;27;37;36;64;191;178;13;559;150;52;156;31;170;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;42;34;42;26;26;573;623;50;0;0;0;0;-5;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5125_5440_6025_GGWUrbanDesignC_3D_Client.png
Descending;25;20;25;40;25;C;28;36;36;64;178;167;11;533;150;38;156;31;158;2;5;42;44;30;27;20;18;38;31;0;36;28;23;5;26;40;63;39;8;8;547;623;76;0;-14;0;0;-17;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5125_5440_6025_GGWUrbanDesignC_3D_Client.png
Ascending;12;20;50;40;25;C;27;37;36;64;192;177;14;557;150;52;156;31;168;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;20;34;84;15;15;570;623;53;0;0;0;0;-7;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3912_4820_5150_5440_6025_GGWUrbanDesignC_3D_Client.png
Descending;12;20;50;40;25;C;28;36;36;64;180;168;12;535;150;38;156;31;160;2;5;42;44;30;27;20;18;38;31;0;36;28;23;5;26;40;64;19;19;18;550;623;73;0;-14;0;0;-15;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3912_4820_5150_5440_6025_GGWUrbanDesignC_3D_Client.png
Ascending;25;20;50;40;25;C;27;37;36;64;191;179;12;565;150;52;156;31;176;2;5;42;44;30;27;28;24;38;31;0;36;28;23;5;26;44;35;88;5;4;581;623;42;0;0;0;0;1;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionAscending_3925_4820_5150_5440_6025_GGWUrbanDesignC_3D_Client.png
Descending;25;20;50;40;25;C;28;36;36;64;180;168;12;535;150;38;156;31;160;2;5;42;44;30;27;20;18;38;31;0;36;28;23;5;26;40;64;19;19;18;550;623;73;0;-14;0;0;-15;https://pheijman.github.io/HeijmansDesignExplorer/SprintA/DistributionDescending_3925_4820_5150_5440_6025_GGWUrbanDesignC_3D_Client.png
